fold,train_start,train_end,test_start,test_end,n_train_rows,n_test_rows,n_dates_test,mean_rank_ic,precision_at_3
0,2018-01-02,2019-01-02,2019-01-03,2019-02-01,1260,210,21,0.44473304473304465,0.44444444444444436
1,2018-01-02,2019-02-01,2019-02-04,2019-03-05,1470,210,21,0.18383838383838386,0.3174603174603174
2,2018-01-02,2019-03-05,2019-03-06,2019-04-03,1680,210,21,0.3841269841269841,0.33333333333333326
3,2018-01-02,2019-04-03,2019-04-04,2019-05-03,1890,210,21,-0.26464646464646463,0.15873015873015875
4,2018-01-02,2019-05-03,2019-05-06,2019-06-04,2100,210,21,0.2698412698412698,0.4126984126984127
5,2018-01-02,2019-06-04,2019-06-05,2019-07-03,2310,210,21,0.26176046176046175,0.42857142857142855
6,2018-01-02,2019-07-03,2019-07-05,2019-08-02,2520,210,21,-0.051659451659451655,0.23809523809523808
7,2018-01-02,2019-08-02,2019-08-05,2019-09-03,2730,210,21,0.2981240981240981,0.2698412698412698
8,2018-01-02,2019-09-03,2019-09-04,2019-10-02,2940,210,21,-0.21154401154401153,0.047619047619047616
9,2018-01-02,2019-10-02,2019-10-03,2019-10-31,3150,210,21,0.6290673647067869,0.4761904761904761
10,2018-01-02,2019-10-31,2019-11-01,2019-12-02,3360,210,21,0.0759018759018759,0.3333333333333333
11,2018-01-02,2019-12-02,2019-12-03,2020-01-02,3570,210,21,0.22308802308802309,0.3333333333333333
12,2018-01-02,2020-01-02,2020-01-03,2020-02-03,3780,210,21,-0.11341991341991339,0.22222222222222218
13,2018-01-02,2020-02-03,2020-02-04,2020-03-04,3990,210,21,-0.27503607503607497,0.1746031746031746
14,2018-01-02,2020-03-04,2020-03-05,2020-04-02,4200,210,21,0.3090909090909091,0.34920634920634913
15,2018-01-02,2020-04-02,2020-04-03,2020-05-04,4410,210,21,0.29696969696969694,0.3174603174603174
16,2018-01-02,2020-05-04,2020-05-05,2020-06-03,4620,210,21,0.2756132756132756,0.23809523809523805
17,2018-01-02,2020-06-03,2020-06-04,2020-07-02,4830,210,21,-0.129004329004329,0.22222222222222218
18,2018-01-02,2020-07-02,2020-07-06,2020-08-03,5040,210,21,0.14747474747474745,0.38095238095238093
19,2018-01-02,2020-08-03,2020-08-04,2020-09-01,5250,210,21,0.26002886002886,0.42857142857142855
20,2018-01-02,2020-09-01,2020-09-02,2020-10-01,5460,210,21,0.4574314574314574,0.5396825396825398
21,2018-01-02,2020-10-01,2020-10-02,2020-10-30,5670,210,21,-0.1544011544011544,0.22222222222222218
22,2018-01-02,2020-10-30,2020-11-02,2020-12-01,5880,210,21,0.12669552669552664,0.4444444444444445
23,2018-01-02,2020-12-01,2020-12-02,2020-12-31,6090,210,21,-0.004329004329004329,0.2539682539682539
24,2018-01-02,2020-12-31,2021-01-04,2021-02-02,6300,210,21,0.3766233766233766,0.3174603174603174
25,2018-01-02,2021-02-02,2021-02-03,2021-03-04,6510,210,21,0.05858585858585858,0.11111111111111112
26,2018-01-02,2021-03-04,2021-03-05,2021-04-05,6720,210,21,0.01587301587301587,0.2539682539682539
27,2018-01-02,2021-04-05,2021-04-06,2021-05-04,6930,210,21,0.045273346557856135,0.15873015873015875
28,2018-01-02,2021-05-04,2021-05-05,2021-06-03,7140,210,21,-0.13535353535353534,0.2539682539682539
29,2018-01-02,2021-06-03,2021-06-04,2021-07-02,7350,210,21,0.10995670995670992,0.34920634920634913
