fold,train_start,train_end,test_start,test_end,n_train_rows,n_test_rows,n_dates_test,mean_rank_ic,precision_at_3
0,2018-01-02,2019-01-02,2019-01-03,2019-02-01,1260,210,21,0.48513708513708514,0.4920634920634922
1,2018-01-02,2019-02-01,2019-02-04,2019-03-05,1470,210,21,0.16017316017316013,0.3492063492063492
2,2018-01-02,2019-03-05,2019-03-06,2019-04-03,1680,210,21,0.09379509379509378,0.19047619047619047
3,2018-01-02,2019-04-03,2019-04-04,2019-05-03,1890,210,21,-0.32987012987012987,0.15873015873015875
4,2018-01-02,2019-05-03,2019-05-06,2019-06-04,2100,210,21,0.4689754689754689,0.5396825396825395
5,2018-01-02,2019-06-04,2019-06-05,2019-07-03,2310,210,21,0.28253968253968254,0.4603174603174603
6,2018-01-02,2019-07-03,2019-07-05,2019-08-02,2520,210,21,-0.1688311688311688,0.0
7,2018-01-02,2019-08-02,2019-08-05,2019-09-03,2730,210,21,0.3281385281385281,0.14285714285714288
8,2018-01-02,2019-09-03,2019-09-04,2019-10-02,2940,210,21,-0.0909090909090909,0.26984126984126977
9,2018-01-02,2019-10-02,2019-10-03,2019-10-31,3150,210,21,0.10515680859905481,0.30158730158730157
10,2018-01-02,2019-10-31,2019-11-01,2019-12-02,3360,210,21,0.16479076479076474,0.3174603174603174
11,2018-01-02,2019-12-02,2019-12-03,2020-01-02,3570,210,21,0.2323232323232323,0.3015873015873015
12,2018-01-02,2020-01-02,2020-01-03,2020-02-03,3780,210,21,-0.041269841269841276,0.17460317460317457
13,2018-01-02,2020-02-03,2020-02-04,2020-03-04,3990,210,21,-0.5792207792207792,0.06349206349206349
14,2018-01-02,2020-03-04,2020-03-05,2020-04-02,4200,210,21,-0.16825396825396824,0.2539682539682539
15,2018-01-02,2020-04-02,2020-04-03,2020-05-04,4410,210,21,0.46378066378066374,0.46031746031746035
16,2018-01-02,2020-05-04,2020-05-05,2020-06-03,4620,210,21,0.27503607503607497,0.28571428571428564
17,2018-01-02,2020-06-03,2020-06-04,2020-07-02,4830,210,21,0.0966810966810967,0.31746031746031744
18,2018-01-02,2020-07-02,2020-07-06,2020-08-03,5040,210,21,0.0759018759018759,0.33333333333333337
19,2018-01-02,2020-08-03,2020-08-04,2020-09-01,5250,210,21,0.3650793650793651,0.4126984126984127
20,2018-01-02,2020-09-01,2020-09-02,2020-10-01,5460,210,21,-0.06839826839826839,0.12698412698412698
21,2018-01-02,2020-10-01,2020-10-02,2020-10-30,5670,210,21,-0.2536796536796537,0.22222222222222218
22,2018-01-02,2020-10-30,2020-11-02,2020-12-01,5880,210,21,-0.052813852813852806,0.38095238095238093
23,2018-01-02,2020-12-01,2020-12-02,2020-12-31,6090,210,21,-0.06089466089466088,0.11111111111111112
24,2018-01-02,2020-12-31,2021-01-04,2021-02-02,6300,210,21,0.2242424242424242,0.19047619047619047
25,2018-01-02,2021-02-02,2021-02-03,2021-03-04,6510,210,21,0.061471861471861455,0.14285714285714285
