fold,train_start,train_end,test_start,test_end,n_train_rows,n_test_rows,n_dates_test,mean_rank_ic,precision_at_3
0,2018-01-02,2019-01-02,2019-01-03,2019-02-01,1260,210,21,-0.33217893217893213,0.12698412698412698
1,2018-01-02,2019-02-01,2019-02-04,2019-03-05,1470,210,21,0.24329004329004325,0.4444444444444445
2,2018-01-02,2019-03-05,2019-03-06,2019-04-03,1680,210,21,0.6577200577200576,0.5873015873015873
3,2018-01-02,2019-04-03,2019-04-04,2019-05-03,1890,210,21,-0.3339105339105338,0.14285714285714285
4,2018-01-02,2019-05-03,2019-05-06,2019-06-04,2100,210,21,0.21847041847041848,0.20634920634920634
5,2018-01-02,2019-06-04,2019-06-05,2019-07-03,2310,210,21,-0.09783549783549784,0.19047619047619047
6,2018-01-02,2019-07-03,2019-07-05,2019-08-02,2520,210,21,-0.3783549783549783,0.09523809523809523
7,2018-01-02,2019-08-02,2019-08-05,2019-09-03,2730,210,21,0.5134199134199133,0.4603174603174603
8,2018-01-02,2019-09-03,2019-09-04,2019-10-02,2940,210,21,-0.2409812409812409,0.20634920634920634
9,2018-01-02,2019-10-02,2019-10-03,2019-10-31,3150,210,21,0.020490620490620476,0.2698412698412698
10,2018-01-02,2019-10-31,2019-11-01,2019-12-02,3360,210,21,0.029148629148629146,0.34920634920634913
11,2018-01-02,2019-12-02,2019-12-03,2020-01-02,3570,210,21,-0.2525252525252525,0.2539682539682539
12,2018-01-02,2020-01-02,2020-01-03,2020-02-03,3780,210,21,-0.39163059163059155,0.2857142857142857
13,2018-01-02,2020-02-03,2020-02-04,2020-03-04,3990,210,21,-0.022222222222222233,0.4126984126984127
14,2018-01-02,2020-03-04,2020-03-05,2020-04-02,4200,210,21,0.17575757575757572,0.26984126984126977
15,2018-01-02,2020-04-02,2020-04-03,2020-05-04,4410,210,21,0.2075036075036075,0.28571428571428564
16,2018-01-02,2020-05-04,2020-05-05,2020-06-03,4620,210,21,0.32813852813852823,0.3492063492063492
17,2018-01-02,2020-06-03,2020-06-04,2020-07-02,4830,210,21,-0.44761904761904764,0.031746031746031744
18,2018-01-02,2020-07-02,2020-07-06,2020-08-03,5040,210,21,0.13823953823953822,0.33333333333333337
19,2018-01-02,2020-08-03,2020-08-04,2020-09-01,5250,210,21,0.2294372294372295,0.365079365079365
20,2018-01-02,2020-09-01,2020-09-02,2020-10-01,5460,210,21,-0.316017316017316,0.12698412698412698
21,2018-01-02,2020-10-01,2020-10-02,2020-10-30,5670,210,21,0.011832611832611825,0.23809523809523805
22,2018-01-02,2020-10-30,2020-11-02,2020-12-01,5880,210,21,0.2767676767676767,0.2857142857142857
23,2018-01-02,2020-12-01,2020-12-02,2020-12-31,6090,210,21,-0.2969696969696969,0.015873015873015872
24,2018-01-02,2020-12-31,2021-01-04,2021-02-02,6300,210,21,0.001443001443001447,0.15873015873015875
25,2018-01-02,2021-02-02,2021-02-03,2021-03-04,6510,210,21,0.0251082251082251,0.14285714285714285
26,2018-01-02,2021-03-04,2021-03-05,2021-04-05,6720,210,21,0.1036075036075036,0.3015873015873015
27,2018-01-02,2021-04-05,2021-04-06,2021-05-04,6930,210,21,0.051659451659451655,0.17460317460317462
28,2018-01-02,2021-05-04,2021-05-05,2021-06-03,7140,210,21,-0.11284271284271284,0.12698412698412698
29,2018-01-02,2021-06-03,2021-06-04,2021-07-02,7350,210,21,0.011255411255411246,0.2857142857142857
30,2018-01-02,2021-07-02,2021-07-06,2021-08-03,7560,210,21,0.2352092352092352,0.365079365079365
31,2018-01-02,2021-08-03,2021-08-04,2021-09-01,7770,210,21,-0.03145743145743145,0.2698412698412698
32,2018-01-02,2021-09-01,2021-09-02,2021-10-01,7980,210,21,-0.08802308802308802,0.3174603174603174
33,2018-01-02,2021-10-01,2021-10-04,2021-11-01,8190,210,21,0.3783549783549783,0.5396825396825397
34,2018-01-02,2021-11-01,2021-11-02,2021-12-01,8400,210,21,-0.0649350649350649,0.2857142857142857
35,2018-01-02,2021-12-01,2021-12-02,2021-12-31,8610,210,21,-0.08398268398268398,0.23809523809523805
36,2018-01-02,2021-12-31,2022-01-03,2022-02-01,8820,210,21,-0.5099567099567098,0.0
37,2018-01-02,2022-02-01,2022-02-02,2022-03-03,9030,210,21,-0.1186147186147186,0.07936507936507936
38,2018-01-02,2022-03-03,2022-03-04,2022-04-01,9240,210,21,0.31313131313131315,0.3174603174603174
39,2018-01-02,2022-04-01,2022-04-04,2022-05-03,9450,210,21,-0.11111111111111112,0.20634920634920634
40,2018-01-02,2022-05-03,2022-05-04,2022-06-02,9660,210,21,-0.059740259740259746,0.2698412698412698
41,2018-01-02,2022-06-02,2022-06-03,2022-07-05,9870,210,21,0.21789321789321786,0.42857142857142855
42,2018-01-02,2022-07-05,2022-07-06,2022-08-03,10080,210,21,0.3708513708513709,0.492063492063492
43,2018-01-02,2022-08-03,2022-08-04,2022-09-01,10290,210,21,-0.1492063492063492,0.20634920634920634
44,2018-01-02,2022-09-01,2022-09-02,2022-10-03,10500,210,21,-0.1393939393939394,0.11111111111111112
45,2018-01-02,2022-10-03,2022-10-04,2022-11-01,10710,210,21,0.21500721500721498,0.1746031746031746
46,2018-01-02,2022-11-01,2022-11-02,2022-12-01,10920,210,21,-0.36911976911976907,0.015873015873015872
47,2018-01-02,2022-12-01,2022-12-02,2023-01-03,11130,210,21,-0.3448773448773449,0.15873015873015872
48,2018-01-02,2023-01-03,2023-01-04,2023-02-02,11340,210,21,0.5157287157287157,0.4126984126984127
49,2018-01-02,2023-02-02,2023-02-03,2023-03-06,11550,210,21,-0.28773448773448773,0.015873015873015872
50,2018-01-02,2023-03-06,2023-03-07,2023-04-04,11760,210,21,0.27099567099567096,0.5555555555555555
51,2018-01-02,2023-04-04,2023-04-05,2023-05-04,11970,210,21,0.40086580086580087,0.3174603174603174
52,2018-01-02,2023-05-04,2023-05-05,2023-06-05,12180,210,21,0.19191919191919188,0.3174603174603174
53,2018-01-02,2023-06-05,2023-06-06,2023-07-06,12390,210,21,0.1393939393939394,0.17460317460317462
54,2018-01-02,2023-07-06,2023-07-07,2023-08-04,12600,210,21,0.24040404040404037,0.44444444444444453
55,2018-01-02,2023-08-04,2023-08-07,2023-09-05,12810,210,21,0.12380952380952379,0.23809523809523808
