portfolio_method,total_return,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,avg_turnover,n_days,transaction_cost_bps,risk_control,top_k,max_weight
top_k_equal,0.2598282187859391,0.03932600279369569,0.1847889102870775,0.21281581634201457,-0.3775684103969955,0.3473469387755102,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.25
score_weighted,0.45529406830048913,0.06466371445434693,0.17117883228573566,0.3777553193400032,-0.33432003208052996,0.2111440940012369,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.25
mean_variance,0.11338633914914586,0.018098436790657813,0.12276015321388485,0.14742924570259316,-0.35972442101418667,0.4041622562183326,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.25
top_k_equal,0.2598282187859391,0.03932600279369569,0.1847889102870775,0.21281581634201457,-0.3775684103969955,0.3473469387755102,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.2
score_weighted,0.45529406830048913,0.06466371445434693,0.17117883228573566,0.3777553193400032,-0.33432003208052996,0.2111440940012369,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.2
mean_variance,0.1850951308187201,0.028766088551719582,0.1270893737884061,0.22634534811394127,-0.34054237477431926,0.34274921184543494,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.2
top_k_equal,0.2598282187859282,0.03932600279369414,0.18478891028707753,0.2128158163420061,-0.3775684103969956,0.34734693877551026,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.15
score_weighted,0.511095042508318,0.07137466162212469,0.16909722042621014,0.4220924592505105,-0.32881377767598585,0.18105442176874742,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.15
mean_variance,0.3563369030247385,0.05221653543824689,0.13510942567012513,0.38647588929683985,-0.26512531315713894,0.2345131008485903,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",5,0.15
top_k_equal,0.4877432933642556,0.06859179006553684,0.17594575890503514,0.3898462258619063,-0.3378033737480698,0.20281827016520892,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.25
score_weighted,0.45529406830048913,0.06466371445434693,0.17117883228573566,0.3777553193400032,-0.33432003208052996,0.2111440940012369,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.25
mean_variance,0.11338633914914586,0.018098436790657813,0.12276015321388485,0.14742924570259316,-0.35972442101418667,0.4041622562183326,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.25
top_k_equal,0.4877432933642556,0.06859179006553684,0.17594575890503514,0.3898462258619063,-0.3378033737480698,0.20281827016520892,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.2
score_weighted,0.45529406830048913,0.06466371445434693,0.17117883228573566,0.3777553193400032,-0.33432003208052996,0.2111440940012369,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.2
mean_variance,0.1850951308187201,0.028766088551719582,0.1270893737884061,0.22634534811394127,-0.34054237477431926,0.34274921184543494,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.2
top_k_equal,0.4877432933642556,0.06859179006553684,0.17594575890503514,0.3898462258619063,-0.3378033737480698,0.20281827016520892,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.15
score_weighted,0.511095042508318,0.07137466162212469,0.16909722042621014,0.4220924592505105,-0.32881377767598585,0.18105442176874742,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.15
mean_variance,0.3563369030247385,0.05221653543824689,0.13510942567012513,0.38647588929683985,-0.26512531315713894,0.2345131008485903,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",7,0.15
top_k_equal,0.869662107471008,0.11015572219245784,0.14909787560888516,0.738814833830492,-0.2676084012205301,0.0006802721088435374,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.25
score_weighted,0.45529406830048913,0.06466371445434693,0.17117883228573566,0.3777553193400032,-0.33432003208052996,0.2111440940012369,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.25
mean_variance,0.11338633914914586,0.018098436790657813,0.12276015321388485,0.14742924570259316,-0.35972442101418667,0.4041622562183326,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.25
top_k_equal,0.869662107471008,0.11015572219245784,0.14909787560888516,0.738814833830492,-0.2676084012205301,0.0006802721088435374,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.2
score_weighted,0.45529406830048913,0.06466371445434693,0.17117883228573566,0.3777553193400032,-0.33432003208052996,0.2111440940012369,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.2
mean_variance,0.1850951308187201,0.028766088551719582,0.1270893737884061,0.22634534811394127,-0.34054237477431926,0.34274921184543494,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.2
top_k_equal,0.869662107471008,0.11015572219245784,0.14909787560888516,0.738814833830492,-0.2676084012205301,0.0006802721088435374,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.15
score_weighted,0.511095042508318,0.07137466162212469,0.16909722042621014,0.4220924592505105,-0.32881377767598585,0.18105442176874742,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.15
mean_variance,0.3563369030247385,0.05221653543824689,0.13510942567012513,0.38647588929683985,-0.26512531315713894,0.2345131008485903,1509,5.0,"{'volatility_scaled': False, 'sticky_fraction': 0.0, 'drawdown_threshold': None, 'drawdown_exposure': 1.0, 'turnover_penalty': 0.0}",10,0.15
