lookback_window,rebalance_freq,strategy,score,Strategy,Annualised Return,Annualised Volatility,Sharpe Ratio,Max Drawdown,Avg Turnover,Total Return
252,5,EqualWeight,0.33793393349326645,EqualWeight,0.11493205191386369,0.1372323659069005,0.8374996026216912,-0.2676084482808194,0.0026666666666666666,1.5092791359639546
252,21,EqualWeight,0.33622007581536384,EqualWeight,0.11493205191386369,0.1372323659069005,0.8374996026216912,-0.2676084482808194,0.011235955056179775,1.5092791359639546
252,63,EqualWeight,0.33157071510246183,EqualWeight,0.11493205191386369,0.1372323659069005,0.8374996026216912,-0.2676084482808194,0.034482758620689655,1.5092791359639546
252,5,RiskParity,0.32616109809130817,RiskParity,0.10754489524912847,0.1317854177903955,0.8160606617355682,-0.2676084482808194,0.007933491461150704,1.372110850599983
252,5,MinVariance,0.30979291230592854,MinVariance,0.0719147736979655,0.09397416291513128,0.7652611256874109,-0.2049803876193126,0.056717671259915864,0.7990600607678553
252,21,RiskParity,0.3045887789183221,RiskParity,0.10358310458405517,0.13247183699981446,0.7819254788789579,-0.2676084482808194,0.03045713018455525,1.3013061138883861
126,5,EqualWeight,0.2941496066597504,EqualWeight,0.10525995445982539,0.1403724740625054,0.7498617885224064,-0.2676084482808194,0.0024937655860349127,1.331043836785763
126,21,EqualWeight,0.29254309661906264,EqualWeight,0.10525995445982539,0.1403724740625054,0.7498617885224064,-0.2676084482808194,0.010526315789473684,1.331043836785763
126,5,MinVariance,0.291287623770894,MinVariance,0.06906820112794132,0.09528691522853613,0.7248445493516937,-0.2004102268794563,0.05505791420557982,0.7590569160129581
126,63,EqualWeight,0.28819674687373154,EqualWeight,0.10525995445982539,0.1403724740625054,0.7498617885224064,-0.2676084482808194,0.03225806451612903,1.331043836785763
252,21,MinVariance,0.2865345665560014,MinVariance,0.07182755200743784,0.09590029400130881,0.7489815621050919,-0.21007572504454897,0.12466748491589924,0.7978225155697982
252,63,RiskParity,0.2835199933043625,RiskParity,0.10107817554290666,0.1323198799171576,0.7638925882202232,-0.2676084482808194,0.0907188316075165,1.2575060260686084
126,5,RiskParity,0.2712530637490213,RiskParity,0.09507379168805019,0.134655758055535,0.7060506959445407,-0.2676084482808194,0.007448748695016109,1.15549509402272
126,21,RiskParity,0.2603481041186616,RiskParity,0.09400945987822351,0.13571949687140294,0.692674685990764,-0.2676084482808194,0.028533521962372813,1.1378432381043693
126,21,MinVariance,0.2555966369510766,MinVariance,0.06664603335545372,0.09707400633855143,0.6865487051499829,-0.21007572504455063,0.12327499055274832,0.7256377513574623
126,63,RiskParity,0.24030360697787642,RiskParity,0.09152626123558627,0.1355706238718576,0.6751186844289926,-0.2676084482808194,0.08486600376187028,1.0971542915062633
504,5,EqualWeight,0.24009653704216133,EqualWeight,0.08614193203855325,0.13417978159800692,0.6419889122835835,-0.2676084482808192,0.003076923076923077,1.0112657457490108
504,21,EqualWeight,0.23811451906014336,EqualWeight,0.08614193203855325,0.13417978159800692,0.6419889122835835,-0.2676084482808192,0.012987012987012988,1.0112657457490108
504,63,EqualWeight,0.23271192165754595,EqualWeight,0.08614193203855325,0.13417978159800692,0.6419889122835835,-0.2676084482808192,0.04,1.0112657457490108
252,63,MinVariance,0.22343400301529726,MinVariance,0.06478621815058472,0.09863429230985747,0.6568325947639004,-0.21377466207989348,0.2042494787134247,0.7003587268679643
504,5,RiskParity,0.20959591181976683,RiskParity,0.07447542393592377,0.12763987988120232,0.5834808369080254,-0.2676084482808192,0.0093098607500005,0.8357282180888499
504,21,RiskParity,0.2030370435191357,RiskParity,0.07508604073267344,0.12929804158435348,0.5807206343778041,-0.2676084482808192,0.035203695927602814,0.8445688608367692
504,5,MinVariance,0.19548535241164453,MinVariance,0.04997898820153379,0.09203833693827734,0.5430235906484344,-0.20926585366987105,0.06623343405805679,0.5104648367381519
126,63,MinVariance,0.18514207871484717,MinVariance,0.058111831285003746,0.10001625767260947,0.5810238518944135,-0.2137746620798915,0.2061872430419607,0.6123062094117964
504,63,RiskParity,0.17993725703285945,RiskParity,0.07264579474306143,0.12914047554537292,0.5625331209000981,-0.2676084482808192,0.10523384466471915,0.8094617198933303
504,21,MinVariance,0.17060044284469428,MinVariance,0.048633097965102845,0.09336577669703765,0.5208878422648617,-0.21007572504455052,0.1341038038718572,0.494170079546304
504,63,MinVariance,0.11360642787142854,MinVariance,0.04249317216492021,0.09606672113802935,0.44232978560666936,-0.21377466207989337,0.21713033153969058,0.42178344513538435
