experiment_type,strategy,lookback_window,rebalance_freq,score,Strategy,Annualised Return,Annualised Volatility,Sharpe Ratio,Max Drawdown,Avg Turnover,Total Return
regime,RegimeAware,252,252,5.500000000000001,,5.500000000000001,0.0,5.500000000000001,0.0,0.0,5.500000000000001
ml,MLRanking,252,252,0.9999455498772427,,1.0,0.0,0.9999455498772427,0.0,0.0,1.0
baseline,MinVariance,252,21,0.13515133321351025,MinVariance,0.012007482808049197,0.01756058432198257,0.6837746733187046,-0.022453344819473364,1.0,0.01195955026936768
baseline,MinVariance,126,5,-0.46080228891322644,MinVariance,-0.0364883330885295,0.04263072508472369,-0.855916314254874,-0.0626202051747905,0.07029035116676138,-0.0363462020267552
baseline,EqualWeight,126,5,-0.46450951588512834,EqualWeight,-0.07120087527099628,0.08569353526077843,-0.830878024279442,-0.13690167915135776,0.04,-0.07092859848262234
baseline,RiskParity,126,5,-0.46450951588512834,RiskParity,-0.07120087527099628,0.08569353526077843,-0.830878024279442,-0.13690167915135776,0.04,-0.07092859848262234
baseline,MinVariance,504,63,-0.645124005639309,MinVariance,-0.027298694528026024,0.03161711618957689,-0.8634150681024316,-0.04472157196031057,1.0,-0.027191852757785906
baseline,EqualWeight,252,21,-0.6933156553147002,EqualWeight,-0.046841356247050436,0.05041154507713407,-0.9291791429002834,-0.09575361288186146,1.0,-0.04665988358538342
baseline,RiskParity,252,21,-0.6933156553147002,RiskParity,-0.046841356247050436,0.05041154507713407,-0.9291791429002834,-0.09575361288186146,1.0,-0.04665988358538342
baseline,EqualWeight,504,63,-0.859022366054236,EqualWeight,-0.09659921299444241,0.07791278404944062,-1.239837777240049,-0.13034492478070503,1.0,-0.0962349508122583
baseline,RiskParity,504,63,-0.859022366054236,RiskParity,-0.09659921299444241,0.07791278404944062,-1.239837777240049,-0.13034492478070503,1.0,-0.0962349508122583
