fold,train_start,train_end,test_start,test_end,n_train,n_test,mse,rmse,mae,r2
0,2018-01-02,2019-01-02,2019-01-03,2019-02-01,2520,210,0.0010482187800687122,0.03237620700558841,0.027817195394401674,-2.755181745927837
1,2018-01-02,2019-02-01,2019-02-04,2019-03-05,2730,210,0.00021923358148772697,0.01480653847081508,0.01167858321155474,-0.014362227844927578
2,2018-01-02,2019-03-05,2019-03-06,2019-04-03,2940,210,0.00029121267215161334,0.017064954501891102,0.014190961578090218,-0.2658529325958814
3,2018-01-02,2019-04-03,2019-04-04,2019-05-03,3150,210,0.00019951557845441,0.0141249983523684,0.010455127719544667,-0.2422010291321075
4,2018-01-02,2019-05-03,2019-05-06,2019-06-04,3360,210,0.0005365115287854383,0.02316271851025778,0.01866161333238416,-0.04411244271039427
5,2018-01-02,2019-06-04,2019-06-05,2019-07-03,3570,210,0.00040592677965514803,0.020147624665333333,0.015771276272388286,-0.5088987387490254
6,2018-01-02,2019-07-03,2019-07-05,2019-08-02,3780,210,0.0005442962835959294,0.023330158241982188,0.01652175413024825,-0.05691618921432284
7,2018-01-02,2019-08-02,2019-08-05,2019-09-03,3990,210,0.00039863919154714664,0.01996595080498664,0.016606122118171935,-0.09520470991330199
8,2018-01-02,2019-09-03,2019-09-04,2019-10-02,4200,210,0.0003373704598349886,0.018367647095776547,0.014194747298215312,-0.0703734227739925
9,2018-01-02,2019-10-02,2019-10-03,2019-10-31,4410,210,0.0003804497306040939,0.019505120625212598,0.016259875720251376,-0.8444110532905471
10,2018-01-02,2019-10-31,2019-11-01,2019-12-02,4620,210,0.00016243695812185704,0.012745075838215205,0.010146274498470513,-0.04634239063907164
11,2018-01-02,2019-12-02,2019-12-03,2020-01-02,4830,210,0.00023500957318294493,0.015330021956375174,0.012324263114229723,-0.584621486292892
12,2018-01-02,2020-01-02,2020-01-03,2020-02-03,5040,210,0.00041641017536194527,0.020406130827816067,0.016204532982298393,-0.0014062325393962016
13,2018-01-02,2020-02-03,2020-02-04,2020-03-04,5250,210,0.0031674832871467027,0.05628039878276186,0.04118371671055228,-0.27987924129364705
14,2018-01-02,2020-03-04,2020-03-05,2020-04-02,5460,210,0.010564537002813339,0.10278393358309137,0.08194578620890283,-0.06529988449332658
15,2018-01-02,2020-04-02,2020-04-03,2020-05-04,5670,210,0.001155330883826078,0.033990158631964015,0.026395688213294806,0.27143977580101486
16,2018-01-02,2020-05-04,2020-05-05,2020-06-03,5880,210,0.0015316651341265436,0.03913649363607506,0.03107104205624051,-0.4687415702850237
17,2018-01-02,2020-06-03,2020-06-04,2020-07-02,6090,210,0.0013601053120821736,0.03687960563891883,0.02859598428898106,-0.6106508604551966
18,2018-01-02,2020-07-02,2020-07-06,2020-08-03,6300,210,0.0004262105583695161,0.020644867603584097,0.01569664714462457,-0.26020017700804443
19,2018-01-02,2020-08-03,2020-08-04,2020-09-01,6510,210,0.0005367548161619221,0.023167969616734264,0.018108847610431366,-0.047730158778299
20,2018-01-02,2020-09-01,2020-09-02,2020-10-01,6720,210,0.0008346591553571732,0.02889046824399309,0.022934163541487616,0.03853349179299914
21,2018-01-02,2020-10-01,2020-10-02,2020-10-30,6930,210,0.0009722918650469838,0.031181594972787774,0.024314659842282076,0.014522896011385789
22,2018-01-02,2020-10-30,2020-11-02,2020-12-01,7140,210,0.0009023748258722756,0.030039554355420713,0.023328527347031423,-0.4487492474966128
23,2018-01-02,2020-12-01,2020-12-02,2020-12-31,7350,210,0.0003952807393168329,0.019881668423873105,0.015185290274504503,-0.3364186650944587
24,2018-01-02,2020-12-31,2021-01-04,2021-02-02,7560,210,0.00058367458351189,0.02415935809395378,0.01931740259587624,0.023001457936250524
25,2018-01-02,2021-02-02,2021-02-03,2021-03-04,7770,210,0.000602524761367979,0.024546379801672975,0.019227429266624473,0.02411583877851764
26,2018-01-02,2021-03-04,2021-03-05,2021-04-05,7980,210,0.0006347057540834177,0.025193367263694977,0.01953384611111264,-0.07863233331647801
27,2018-01-02,2021-04-05,2021-04-06,2021-05-04,8190,210,0.00027109275166275126,0.016464894523280472,0.012976912116204992,-0.1405005765674061
28,2018-01-02,2021-05-04,2021-05-05,2021-06-03,8400,210,0.00030989461542779153,0.017603823886525097,0.014346461695843764,-0.046142541095882006
29,2018-01-02,2021-06-03,2021-06-04,2021-07-02,8610,210,0.0003322707889832251,0.018228296381813225,0.014468754222088976,-0.0025684956524276714
30,2018-01-02,2021-07-02,2021-07-06,2021-08-03,8820,210,0.000298159145782695,0.01726728542020126,0.012773462809731111,0.007044273501825571
31,2018-01-02,2021-08-03,2021-08-04,2021-09-01,9030,210,0.0003869429624479211,0.019670865828628925,0.014789206238108607,-0.05452126176658667
32,2018-01-02,2021-09-01,2021-09-02,2021-10-01,9240,210,0.0003924111964579988,0.01980937143015898,0.015896231142693,-0.13705884474265773
33,2018-01-02,2021-10-01,2021-10-04,2021-11-01,9450,210,0.00038598000427070224,0.019646373819886005,0.015868720314581853,-0.5637162686794432
