fold,train_start,train_end,test_start,test_end,n_train,n_test,mse,rmse,mae,r2
0,2018-01-02,2019-01-02,2019-01-03,2019-02-01,2520,210,0.0008057426715951558,0.028385606768134373,0.023785368091274097,-1.88652543707614
1,2018-01-02,2019-02-01,2019-02-04,2019-03-05,2730,210,0.00023732848339271838,0.015405469268825224,0.012120530412755272,-0.09808473460883782
2,2018-01-02,2019-03-05,2019-03-06,2019-04-03,2940,210,0.0002662768906900905,0.01631799285114718,0.013478733559500328,-0.15746124807054218
3,2018-01-02,2019-04-03,2019-04-04,2019-05-03,3150,210,0.0001892756276229293,0.01375774791246479,0.010210138122518295,-0.17844622081254524
4,2018-01-02,2019-05-03,2019-05-06,2019-06-04,3360,210,0.0005545436004620914,0.023548749445821776,0.018779446109598846,-0.07920490465256558
5,2018-01-02,2019-06-04,2019-06-05,2019-07-03,3570,210,0.00037266287492853273,0.019304478105572623,0.01512276134243035,-0.38525115893057227
6,2018-01-02,2019-07-03,2019-07-05,2019-08-02,3780,210,0.0005496691352089682,0.02344502367686943,0.016802582030894523,-0.06734920891923535
7,2018-01-02,2019-08-02,2019-08-05,2019-09-03,3990,210,0.00038045872251608783,0.01950535112516788,0.016234096086993513,-0.04525644658783401
8,2018-01-02,2019-09-03,2019-09-04,2019-10-02,4200,210,0.00030884199817864105,0.017573901051805233,0.013849923216519762,0.020138672341024066
9,2018-01-02,2019-10-02,2019-10-03,2019-10-31,4410,210,0.00031403368265130237,0.017720995532173194,0.015050040348689415,-0.5224276659833842
10,2018-01-02,2019-10-31,2019-11-01,2019-12-02,4620,210,0.00015960222732776589,0.012633377510696254,0.009823921714425985,-0.02808238977349009
11,2018-01-02,2019-12-02,2019-12-03,2020-01-02,4830,210,0.0002413044610519251,0.015533977631370694,0.012704294768082353,-0.6270666277221959
12,2018-01-02,2020-01-02,2020-01-03,2020-02-03,5040,210,0.0004352242476500294,0.02086202884788604,0.01661273224470003,-0.046651354689348334
13,2018-01-02,2020-02-03,2020-02-04,2020-03-04,5250,210,0.0030791776346640494,0.05549033821003481,0.03958949894408134,-0.24419773605569883
14,2018-01-02,2020-03-04,2020-03-05,2020-04-02,5460,210,0.00993439974486771,0.09967145902848874,0.08068278324313538,-0.0017585151057557535
15,2018-01-02,2020-04-02,2020-04-03,2020-05-04,5670,210,0.0016730901345615278,0.04090342448452853,0.032410224302236154,-0.055063047829642775
16,2018-01-02,2020-05-04,2020-05-05,2020-06-03,5880,210,0.0010597631882758272,0.03255400418191021,0.02566521327900262,-0.016226206759045514
17,2018-01-02,2020-06-03,2020-06-04,2020-07-02,6090,210,0.0012237753594040249,0.03498250075972307,0.026639319365916094,-0.44920751218187527
18,2018-01-02,2020-07-02,2020-07-06,2020-08-03,6300,210,0.0004671530665327858,0.021613724032030802,0.016687347959197695,-0.38125714057057825
19,2018-01-02,2020-08-03,2020-08-04,2020-09-01,6510,210,0.0004897466871404777,0.0221302211272386,0.017040865062057018,0.04402837416917438
20,2018-01-02,2020-09-01,2020-09-02,2020-10-01,6720,210,0.0008208830324587037,0.028651056393416,0.022386461760065004,0.05440258122286812
21,2018-01-02,2020-10-01,2020-10-02,2020-10-30,6930,210,0.0009279969049366675,0.03046304162319757,0.023964234615899124,0.05941853957279353
22,2018-01-02,2020-10-30,2020-11-02,2020-12-01,7140,210,0.0008868991652720501,0.029780852326151616,0.022939313631709052,-0.42390330653475483
23,2018-01-02,2020-12-01,2020-12-02,2020-12-31,7350,210,0.00034353594081704543,0.01853472257189315,0.014086070697758664,-0.16147284138398676
24,2018-01-02,2020-12-31,2021-01-04,2021-02-02,7560,210,0.0006256220696966403,0.025012438299706813,0.019834130430434943,-0.047213408366738596
25,2018-01-02,2021-02-02,2021-02-03,2021-03-04,7770,210,0.0006513749175954325,0.025522047676380367,0.020308835230658344,-0.05500471657813133
26,2018-01-02,2021-03-04,2021-03-05,2021-04-05,7980,210,0.0006216329505400705,0.02493256806949638,0.01960265365394959,-0.05641613549846447
27,2018-01-02,2021-04-05,2021-04-06,2021-05-04,8190,210,0.0002635300361982276,0.01623360823101961,0.013003287511055466,-0.10868385961425564
28,2018-01-02,2021-05-04,2021-05-05,2021-06-03,8400,210,0.00030754771743717366,0.017537038445449495,0.014350282789117187,-0.038219880599801526
29,2018-01-02,2021-06-03,2021-06-04,2021-07-02,8610,210,0.0003455376958849761,0.01858864427237705,0.014859934865534413,-0.04259904704441553
30,2018-01-02,2021-07-02,2021-07-06,2021-08-03,8820,210,0.0002985657290705611,0.01727905463474669,0.012577159246441708,0.005690234191962018
31,2018-01-02,2021-08-03,2021-08-04,2021-09-01,9030,210,0.0003910169480395158,0.019774148478240872,0.015021953635557798,-0.06562394315220721
32,2018-01-02,2021-09-01,2021-09-02,2021-10-01,9240,210,0.0003846633456123619,0.01961283624599874,0.015756565055024555,-0.11460851098231295
33,2018-01-02,2021-10-01,2021-10-04,2021-11-01,9450,210,0.0003822678038221781,0.01955167010314408,0.015965646375482784,-0.5486770744991012
34,2018-01-02,2021-11-01,2021-11-02,2021-12-01,9660,210,0.0006840574771638759,0.026154492485305002,0.019326981243283563,-0.052139554249336806
35,2018-01-02,2021-12-01,2021-12-02,2021-12-31,9870,210,0.00040000236861559415,0.020000059215302193,0.01560758863836274,0.07240781109360916
36,2018-01-02,2021-12-31,2022-01-03,2022-02-01,10080,210,0.000882569929547099,0.029708078523309093,0.023434648037341153,-0.11446560261983074
37,2018-01-02,2022-02-01,2022-02-02,2022-03-03,10290,210,0.0012571490199486562,0.03545629732429285,0.02571907569848461,-0.12542869910530596
38,2018-01-02,2022-03-03,2022-03-04,2022-04-01,10500,210,0.0010530784554565317,0.03245117032491327,0.024674866384284053,0.0540409919986794
39,2018-01-02,2022-04-01,2022-04-04,2022-05-03,10710,210,0.0013962626840515744,0.037366598507913115,0.03095332234293941,-0.6511204103260828
40,2018-01-02,2022-05-03,2022-05-04,2022-06-02,10920,210,0.0010167259563312226,0.03188614050541744,0.02418669185822923,0.08316643645059896
41,2018-01-02,2022-06-02,2022-06-03,2022-07-05,11130,210,0.0020601791719004484,0.045389196643038844,0.03355280491962089,-0.24289214493632016
42,2018-01-02,2022-07-05,2022-07-06,2022-08-03,11340,210,0.0006365498245821973,0.025229939052288597,0.021026683885585654,-0.23875991299388755
43,2018-01-02,2022-08-03,2022-08-04,2022-09-01,11550,210,0.001057101360856103,0.03251309522109673,0.02758404988224776,-0.2821391668976678
44,2018-01-02,2022-09-01,2022-09-02,2022-10-03,11760,210,0.0015484361593473602,0.03935017356184545,0.03272337640155261,-0.29469843227325687
45,2018-01-02,2022-10-03,2022-10-04,2022-11-01,11970,210,0.0009508308553818546,0.03083554532324432,0.02590195993134692,0.053952565089417925
46,2018-01-02,2022-11-01,2022-11-02,2022-12-01,12180,210,0.0011101235695382204,0.03331851691684701,0.02556256934017529,-0.24484715530295453
47,2018-01-02,2022-12-01,2022-12-02,2023-01-03,12390,210,0.000628065748028964,0.025061239953940107,0.019317346501095154,-0.09067982902379179
48,2018-01-02,2023-01-03,2023-01-04,2023-02-02,12600,210,0.0007060098094812377,0.02657084510287992,0.021509714812068897,-0.15475321242385287
49,2018-01-02,2023-02-02,2023-02-03,2023-03-06,12810,210,0.0005681525194622826,0.02383595014809107,0.018752631704872215,-0.2612617290393604
50,2018-01-02,2023-03-06,2023-03-07,2023-04-04,13020,210,0.0006234630687039267,0.024969242453545256,0.020028510489189896,-0.1404877949398744
51,2018-01-02,2023-04-04,2023-04-05,2023-05-04,13230,210,0.00021483166077307467,0.014657136854552279,0.011749385501134423,0.06147920445619959
52,2018-01-02,2023-05-04,2023-05-05,2023-06-05,13440,210,0.0004165059492671582,0.02040847738728096,0.015972152069326655,-0.04962488506498608
53,2018-01-02,2023-06-05,2023-06-06,2023-07-06,13650,210,0.00042286325192332985,0.020563639072968817,0.015984955528799333,-0.03518020689231105
54,2018-01-02,2023-07-06,2023-07-07,2023-08-04,13860,210,0.0003497659232022013,0.0187020299219684,0.015065222229456592,-0.004479823907095337
55,2018-01-02,2023-08-04,2023-08-07,2023-09-05,14070,210,0.00035410137987608014,0.018817581669175243,0.015991033864300244,-0.019431726458788656
56,2018-01-02,2023-09-05,2023-09-06,2023-10-04,14280,210,0.0005187890289872419,0.022776940729326272,0.018330454475583673,-0.19722897986260457
57,2018-01-02,2023-10-04,2023-10-05,2023-11-02,14490,210,0.0008888997457460523,0.02981442177447103,0.024301396573121064,-0.03723335728857147
58,2018-01-02,2023-11-02,2023-11-03,2023-12-04,14700,210,0.0005281980867601881,0.02298256049182049,0.01824276056369614,-0.318545961860363
59,2018-01-02,2023-12-04,2023-12-05,2024-01-04,14910,210,0.0005527428280420986,0.023510483364705598,0.018345002141770747,-0.135191429105608
60,2018-01-02,2024-01-04,2024-01-05,2024-02-05,15120,210,0.000315478831513784,0.017761723776530926,0.014185594711629406,-0.04300335929505139
61,2018-01-02,2024-02-05,2024-02-06,2024-03-06,15330,210,0.0002627919266945385,0.0162108582960477,0.012712768931978003,-0.28541392382744046
62,2018-01-02,2024-03-06,2024-03-07,2024-04-05,15540,210,0.0003003865416120528,0.01733166297883884,0.013218912779145255,-0.07188018547504349
63,2018-01-02,2024-04-05,2024-04-08,2024-05-06,15750,210,0.0005226230800008812,0.022860950986362778,0.018861944440530024,0.025393983347968385
64,2018-01-02,2024-05-06,2024-05-07,2024-06-05,15960,210,0.0003421291752211508,0.018496734177177083,0.015152362858644752,0.020003834874146476
65,2018-01-02,2024-06-05,2024-06-06,2024-07-08,16170,210,0.0003156366608277765,0.01776616618260047,0.01327237640364322,-0.25633697804725153
66,2018-01-02,2024-07-08,2024-07-09,2024-08-06,16380,210,0.0009236650953736624,0.03039185903122187,0.023715062940797192,-0.009656545132864292
67,2018-01-02,2024-08-06,2024-08-07,2024-09-05,16590,210,0.0005631692476550265,0.023731187236525408,0.019167603010390548,-0.059779233150342836
68,2018-01-02,2024-09-05,2024-09-06,2024-10-04,16800,210,0.00046287967456919843,0.02151463861116887,0.01687947456408127,-0.14802215380885286
69,2018-01-02,2024-10-04,2024-10-07,2024-11-04,17010,210,0.0005226815186611112,0.022862229083383607,0.016864451247624992,0.007321434990904985
70,2018-01-02,2024-11-04,2024-11-05,2024-12-04,17220,210,0.0004660901749178809,0.021589121680093446,0.017071417415869584,0.04852022971505299
71,2018-01-02,2024-12-04,2024-12-05,2025-01-06,17430,210,0.0004984194946535305,0.022325310628377167,0.01785005024528232,-0.31370986268010026
72,2018-01-02,2025-01-06,2025-01-07,2025-02-06,17640,210,0.00035995133522872,0.018972383488342206,0.014807595886787059,-0.307527589128314
73,2018-01-02,2025-02-06,2025-02-07,2025-03-10,17850,210,0.0006395932941569517,0.02529018177390095,0.020328299106770063,-0.18416173580862538
74,2018-01-02,2025-03-10,2025-03-11,2025-04-08,18060,210,0.0022440890663678265,0.04737181721622917,0.03447781741979577,-0.0227494319779471
75,2018-01-02,2025-04-08,2025-04-09,2025-05-08,18270,210,0.00070462374698994,0.026544749895034612,0.021025688138747344,0.011459592206785829
76,2018-01-02,2025-05-08,2025-05-09,2025-06-09,18480,210,0.0002639060576312621,0.01624518567549359,0.012471890233245814,0.009969661330336277
77,2018-01-02,2025-06-09,2025-06-10,2025-07-10,18690,210,0.0003149038131216714,0.017745529384091966,0.013526491856261667,0.07223578583642731
78,2018-01-02,2025-07-10,2025-07-11,2025-08-08,18900,210,0.0002919799300755377,0.017087420228798077,0.013828474256121038,0.004356180333116466
79,2018-01-02,2025-08-08,2025-08-11,2025-09-09,19110,210,0.0003107964871675421,0.017629421067282446,0.013439382953077996,-0.3729491568976051
80,2018-01-02,2025-09-09,2025-09-10,2025-10-08,19320,210,0.00026789112324197633,0.016367379852681867,0.01309141383118718,-0.10416669064987083
81,2018-01-02,2025-10-08,2025-10-09,2025-11-06,19530,210,0.00042756737748958224,0.02067770242288979,0.01593572769171725,-0.009440017509039
82,2018-01-02,2025-11-06,2025-11-07,2025-12-08,19740,210,0.00043827020249248116,0.02093490392842731,0.01655630859099959,0.072398723382196
83,2018-01-02,2025-12-08,2025-12-09,2026-01-08,19950,210,0.00035002871919991073,0.01870905447102848,0.014873849757082431,-0.15991637717530782
84,2018-01-02,2026-01-08,2026-01-09,2026-02-09,20160,210,0.000826245597759751,0.02874448812833081,0.019922707417385204,-0.03467699310781902
85,2018-01-02,2026-02-09,2026-02-10,2026-03-11,20370,210,0.0007695350219347141,0.027740494262624704,0.020690096829852064,-0.07425538128874587
86,2018-01-02,2026-03-11,2026-03-12,2026-04-10,20580,210,0.001205048086714818,0.03471380253897314,0.026916295674124888,-0.06981392464552294
87,2018-01-02,2026-04-10,2026-04-13,2026-05-11,20790,210,0.0005452195795589878,0.023349937463706148,0.01803911022214369,-0.08875275393405935
88,2018-01-02,2026-05-11,2026-05-12,2026-06-10,21000,210,0.000816696089573095,0.028577895121458738,0.02283815951559513,0.0002074441205480726
