Slice,Start,End,N_Days,Total_Return,Annualised_Return,Annualised_Volatility,Sharpe_Ratio,Max_Drawdown
Year_2018,2018-01-01,2018-12-31,251,0.0,0.0,0.0,0.0,0.0
Year_2019,2019-01-01,2019-12-31,252,0.23800874164867736,0.23800874164867736,0.08349074660678953,2.8507200057703437,-0.04129672415904517
Year_2020,2020-01-01,2020-12-31,253,0.1676069455295004,0.16689203380459583,0.24858347880015702,0.6713721869616478,-0.26760844828081876
Year_2021,2021-01-01,2021-12-31,252,0.16917670796840012,0.16917670796840012,0.10518227669984705,1.6084145853884728,-0.05078341985849322
Year_2022,2022-01-01,2022-12-31,251,-0.1527145618663026,-0.15327378020790616,0.1764845763669632,-0.8684825799689432,-0.21557076227836147
Year_2023,2023-01-01,2023-12-31,250,0.16107903171956695,0.16246711590868612,0.1095812996290542,1.4826171660553098,-0.0987472753723122
Year_2024,2024-01-01,2024-12-31,252,0.11391964869241633,0.11391964869241633,0.10143951086169026,1.1230303431543787,-0.05618752981492059
Year_2025,2025-01-01,2025-12-31,250,0.20927486691265318,0.2111145648364292,0.1320249660243999,1.5990503250530097,-0.12827249360022996
Year_2026,2026-01-01,2026-12-31,120,0.12041270205092491,0.2696787464945354,0.13587526785724907,1.9847522713100416,-0.06654515371257064
COVID_Crash,2020-02-01,2020-04-30,62,-0.08679534587336823,-0.3086014374648548,0.4383780703427513,-0.7039618501527026,-0.26760844828081887
COVID_Recovery,2020-05-01,2020-12-31,170,0.2859067336351657,0.4517337712394325,0.1468495145116086,3.0761679583470634,-0.06492191636274935
Bear_2022,2022-01-01,2022-10-31,209,-0.1787194270174629,-0.2113234966729166,0.17266383032212282,-1.2239013595300767,-0.21557076227836147
Bull_2019,2019-01-01,2019-12-31,252,0.23800874164867736,0.23800874164867736,0.08349074660678953,2.8507200057703437,-0.04129672415904517
Bull_Late_2023,2023-11-01,2023-12-31,41,0.13216514915856892,1.144608035986074,0.11783430785092097,9.713707805999794,-0.014864490998316215
