Slice,Start,End,N_Days,Total_Return,Annualised_Return,Annualised_Volatility,Sharpe_Ratio,Max_Drawdown
Year_2018,2018-01-01,2018-12-31,251,0.0,0.0,0.0,0.0,0.0
Year_2019,2019-01-01,2019-12-31,252,0.23800874164867736,0.23800874164867736,0.08349074660678953,2.8507200057703437,-0.04129672415904517
Year_2020,2020-01-01,2020-12-31,253,0.09953499504472041,0.0991226930325606,0.2325309046754076,0.4262775013537536,-0.26760844828081876
Year_2021,2021-01-01,2021-12-31,252,0.14365931868464488,0.14365931868464488,0.10165129661174326,1.4132561361548697,-0.05078341985849333
Year_2022,2022-01-01,2022-12-31,251,-0.15039313232605467,-0.15094462751885873,0.17196137896177796,-0.8777821417238655,-0.21412549025705574
Year_2023,2023-01-01,2023-12-31,250,0.15284261337341887,0.1541551171182325,0.1058025448671677,1.45700764865127,-0.09874727537231198
Year_2024,2024-01-01,2024-12-31,252,0.11391964869241589,0.11391964869241589,0.10143951086169027,1.1230303431543742,-0.0561875298149207
Year_2025,2025-01-01,2025-12-31,250,0.2092748669126545,0.21111456483643054,0.13202496602439986,1.5990503250530201,-0.12827249360022985
Year_2026,2026-01-01,2026-12-31,120,0.12041270205092491,0.2696787464945354,0.13587526785724907,1.9847522713100416,-0.06654515371257064
COVID_Crash,2020-02-01,2020-04-30,62,-0.11632715748984324,-0.39507578586219805,0.42357052998759037,-0.9327272741891954,-0.26760844828081887
COVID_Recovery,2020-05-01,2020-12-31,170,0.25140666872551054,0.39437279563699534,0.12052698612759993,3.272070498962609,-0.054152090824498345
Bear_2022,2022-01-01,2022-10-31,209,-0.18429807415761634,-0.2177783499788324,0.17052031587410565,-1.2771401980020791,-0.21412549025705574
Bull_2019,2019-01-01,2019-12-31,252,0.23800874164867736,0.23800874164867736,0.08349074660678953,2.8507200057703437,-0.04129672415904517
Bull_Late_2023,2023-11-01,2023-12-31,41,0.13216514915856803,1.1446080359860638,0.11783430785092099,9.713707805999707,-0.01486449099831666
